ID,問題,答え
405,"#405  
in accordance with ～
","in accordance with ～

意味：
～に従って
～に基づいて
～に一致して
～に沿って

かなり硬い表現です。契約書、規則、法律、会社の手続き、TOEICでよく出ます。

例：
The payment will be processed in accordance with company policy.
支払いは会社方針に従って処理されます。

All employees must act in accordance with safety regulations.
全従業員は安全規則に従って行動しなければならない。

The product was tested in accordance with international standards.
その製品は国際基準に従って試験された。

言い換え：
in accordance with = according to
in accordance with = in line with
in accordance with = following

ただし、according to よりも in accordance with の方が硬く、「規則・基準・契約に正式に従う」という感じが強いです。

語源：
accordance は accord から来ています。
accord はラテン語 accordare（アッコルダーレ）「心を合わせる、一致させる」から、古フランス語 acorder（アコルデ）を経て英語に入りました。
ad-（アド）= ～へ
cor / cordis（コル／コルディス）= 心

もともとは「心が合う」「一致する」という意味で、そこから in accordance with ～ = 「～と一致して」「～に従って」となりました。

同じ語源の英語：
accord = 一致する、合意
according to = ～によれば、～に従って
cordial = 心からの、親切な
concord = 一致、調和
discord = 不一致、不和
record = 記録する ※もとは「心に呼び戻す」
courage = 勇気 ※cor「心」由来
heart = 心 ※意味は近いが語源は別系統です。
"
406,"#406  
期限超過の、返却期限・提出期限を過ぎ
","overdue
"
407,"#407  
exhibitors
","exhibitors
エグジビターズ

意味：
展示者、出展者、展示会にブースを出す会社・人

単数：
exhibitor
エグジビター
出展者、展示者

例：
Many exhibitors participated in the trade show.
多くの出展者がその見本市に参加した。

The exhibitors displayed their new products.
出展者たちは新製品を展示した。

関連語：
exhibit = 展示する、展示品
exhibition = 展示会、展覧会
exhibitor = 出展者、展示者
trade show exhibitor = 見本市の出展者

語源：
exhibitor は exhibit から来ています。
exhibit はラテン語 exhibere（エクスヒベーレ）「差し出す、見せる、提示する」から来ています。
ex-（エクス）= 外へ
habere（ハベーレ）= 持つ

つまり語源的には「外へ持ち出して見せる」→「展示する」です。

同じ語源の英語：
exhibit = 展示する
exhibition = 展示会
habit = 習慣、服装
habitat = 生息地
inhabit = 住む
prohibit = 禁止する
inhibit = 抑制する
ability = 能力 ※habere「持つ」系統から派生した語です。
"
408,"#408  
take a stroll
","take a stroll

意味：
散歩する
ぶらぶら歩く
ゆっくり歩く

walk よりも「急がず、気楽に歩く」という感じです。

例：
They are taking a stroll along a walkway.
彼らは歩道に沿って散歩している。

Let’s take a stroll after lunch.
昼食後に散歩しよう。

He took a stroll through the park.
彼は公園をぶらぶら歩いた。

言い換え：
take a stroll = go for a walk
ただし stroll の方が「のんびり散歩」の感じが強いです。

語源：
stroll はドイツ語系の語と関係があるとされ、ドイツ語 strolchen（シュトロルヒェン）「ぶらつく、放浪する」と近い語です。

関連語：
stroll = 散歩する
stroller = 散歩する人、ベビーカー
strolling = 散歩している、ぶらぶら歩く
"
409,"#409  
Would you care to do ～?
","Would you care to do ～?

意味：
～したいですか
～していただけますか
～なさいますか

かなり丁寧で、少し古風・フォーマルな言い方です。

ただし、普通はこう言います。

Would you care to + 動詞の原形?

例：
Would you care to join us?
ご一緒されますか。

Would you care to have some coffee?
コーヒーはいかがですか。

Would you care to explain?
説明していただけますか。
※これは文脈によっては「説明してもらおうか」という少し詰問調にもなります。

注意：
Would you like care to do? は不自然です。
正しくは次のどちらかです。

Would you like to do ～?
～したいですか。

Would you care to do ～?
～したいですか／～していただけますか。

care の語源：
care は古英語 caru（カル）「心配、悲しみ、気遣い」から来ています。
そこから「気にする」→「したいと思う」という意味にも広がりました。

同じ語源・関連語：
care = 気にする、世話
careful = 注意深い
careless = 不注意な
caretaker = 管理人、世話人
healthcare = 医療、健康管理
"
410,"#410  
Councilwoman
","Councilwoman
カウンシルウーマン

意味：
女性の市議会議員
女性の地方議会議員

council = 議会、評議会
woman = 女性

つまり councilwoman は「議会に属する女性議員」です。特にアメリカ英語で、市議会・町議会などの女性議員を指すことが多いです。

例：
She was elected as a councilwoman.
彼女は市議会議員に選ばれた。

The councilwoman proposed a new housing policy.
その女性市議は新しい住宅政策を提案した。

男性なら：
councilman
男性の市議会議員

性別を出さない言い方なら：
council member
議会議員、市議会議員

語源：
council はラテン語 concilium（コンキリウム）「集会、会議」から、古フランス語 concile（コンシル）を経て英語に入りました。
con-（コン）= 一緒に
calare（カラーレ）= 呼ぶ、召集する

woman は古英語 wifmann（ウィーフマン）から来ています。
wif（ウィーフ）= 女性
mann（マン）= 人

同じ語源の英語：
council = 議会、評議会
councilor / councillor = 議員、評議員
counsel = 助言する、弁護士 ※綴りと意味は近いが、別語として区別されます
reconcile = 和解させる、一致させる ※同じく concilium 系とされます
"
411,"#411  
sanction waivers
","sanction waivers

意味：
制裁免除
制裁措置の適用除外
制裁を一部免除する許可

sanction は文脈に注意が必要です。普通は2つの意味があります。

sanction = 制裁
economic sanctions
経済制裁

sanction waivers
制裁免除、制裁の適用除外

例：
The country requested sanction waivers.
その国は制裁免除を求めた。

The government granted temporary sanction waivers.
政府は一時的な制裁免除を認めた。

sanction = 承認、認可
official sanction
公式承認

ただし sanction waivers という組み合わせでは、たいてい「制裁の免除」です。

waiver = 免除、権利放棄、適用除外

語源：
sanction はラテン語 sanctio（サンクティオー）「法令、罰則を伴う規定」から来ています。さらに sancire（サンキーレ）「神聖なものとして定める、法律で定める」に由来します。
同じ語源：
sanction = 制裁、承認
sanctuary = 聖域、避難所
sanctify = 神聖にする
saint = 聖人
sacred = 神聖な

waiver は waive から来ています。古フランス語 weiver / waiver（ウェイヴェ／ウェイヴァー）「捨てる、放棄する」から英語に入りました。
同じ語源：
waive = 放棄する、免除する
waiver = 免除、権利放棄
waivable = 免除可能な
"
412,"#412  
objective mediator
","objective mediator
オブジェクティブ・ミーディエイター

意味：
客観的な調停者
中立的な仲介者
公平な仲裁役

objective = 客観的な、公平な、私情をはさまない
mediator = 仲介者、調停者

つまり objective mediator は、争っている二者のどちらか一方に肩入れせず、公平な立場で話し合いをまとめる人です。

例：
They need an objective mediator to resolve the dispute.
彼らはその紛争を解決するために、公平な調停者を必要としている。

An objective mediator can help both sides reach an agreement.
客観的な調停者は、双方が合意に達するのを助けることができる。

似た表現：
neutral mediator
中立的な調停者

impartial mediator
公平な調停者

third-party mediator
第三者の調停者

TOEIC・ビジネスでは、objective は「目的」よりも「客観的な」という意味で出ることも多いです。ここでは objective mediator = 「客観的・公平な仲介者」です。
"
413,"#413  
along with
","along with
アロング・ウィズ

意味：
～と一緒に
～に加えて
～とともに

例：
Please submit the form along with your ID.
身分証と一緒にその用紙を提出してください。

She came along with her brother.
彼女は兄と一緒に来た。

The report includes charts along with detailed explanations.
その報告書には、詳しい説明に加えて図表も含まれている。

ポイント：
along with は、with より少し「一緒に添えて」「付け加えて」という感じが出ます。

with との違い：
I went with him.
私は彼と一緒に行った。

I sent the invoice along with the receipt.
請求書を領収書と一緒に送った。
この場合は「添付して」「一緒に付けて」という感じです。

語源：
along は古英語 andlang（アンドラング）「全体にわたって、～に沿って」から来ています。
and-（アンド）= 反対に、向かって
lang（ラング）= 長い

with は古英語 with（ウィズ）「反対に、近くに、～とともに」から来ています。昔は「against」に近い意味もありましたが、後に「一緒に」の意味が中心になりました。

同じ語源・関連語：
long = 長い
length = 長さ
along = ～に沿って
alongside = ～のそばに、～と並んで
with = ～と一緒に
within = ～の中に
without = ～なしで
"
414,"#414  
measurably
","measurably
メジャラブリー

意味：
測定できるほど
目に見えて
はっきりと分かる程度に
かなり、明確に

measure = 測る
measurable = 測定可能な
measurably = 測定できるほどに、明らかに

例：
The new system measurably improved productivity.
新しいシステムは生産性を目に見えて改善した。

Sales increased measurably after the campaign.
キャンペーン後、売上は明らかに増えた。

The treatment measurably reduced pain.
その治療は痛みを測定できるほど軽減した。

ポイント：
measurably は「なんとなく良くなった」ではなく、「数字やデータで分かるくらいに」という感じです。

反対語：
immeasurably
計り知れないほどに、非常に

語源：
measure はラテン語 mensura（メンスーラ）「測定、寸法」から来ています。もとは metiri（メティーリー）「測る」に由来します。

同じ語源の英語：
measure = 測る、尺度
measurement = 測定
measurable = 測定可能な
measurably = 測定できるほどに
dimension = 寸法、次元
meter = メートル、計器
commensurate = 釣り合った、相応の
"
415,"#415  
fondly
","fondly
フォンドリー
意味：愛情を込めて、懐かしく、好意的に

例：
She remembered her teacher fondly.
彼女は先生を懐かしく思い出した。

He spoke fondly of his hometown.
彼は故郷のことを愛情を込めて話した。

profoundly
プロファウンドリー
意味：深く、非常に、心から

例：
I was profoundly moved.
私は深く感動した。

The decision profoundly affected the company.
その決定は会社に大きな影響を与えた。

found は「見つけた」「設立した」「鋳造した」などの意味ですが、foundly という副詞は通常使いません。

語源：
fondly の fond は、中英語 fond（フォンド）「愚かな、だまされやすい」から来て、後に「愛情が深い、好意を持つ」という意味に変わりました。
同じ語源・関連語：
fond = 好きである
fondly = 愛情を込めて、懐かしく
fondness = 愛着、好意

profoundly の profound は、ラテン語 profundus（プロフンドゥス）「深い」から来ています。
pro-（プロ）= 前へ、下へ
fundus（フンドゥス）= 底

同じ語源：
profound = 深い、重大な
profoundly = 深く、非常に
foundation = 基礎
fundamental = 基本的な
fund = 資金
bottom/fundus 系の「底」のイメージです。
"
416,"#416  
representative of ～
","representative of ～

意味：
～を代表する
～を典型的に表している
～の代表例である
～をよく示している

例：
This painting is representative of his early work.
この絵は彼の初期作品を代表するものです。

The survey results are representative of the general population.
その調査結果は一般人口を代表している。

This case is representative of a larger problem.
この事例は、より大きな問題をよく表している。

ポイント：
representative of ～ は、「～の中から選ばれた代表」という意味だけでなく、「～の特徴をよく表している」という意味でよく使います。

名詞の representative：
a sales representative
営業担当者

a representative of the company
会社の代表者

形容詞の representative：
a representative sample
代表サンプル

語源：
represent はラテン語 repraesentare（レプラエセンターレ）「目の前に示す、現前させる」から来ています。
re-（レ）= 再び、強調
praesentare（プラエセンターレ）= 示す、提示する
praesens（プラエセンス）= 目の前にいる、現在の

同じ語源の英語：
represent = 代表する、表す
representative = 代表者、代表的な
representation = 表現、代表
present = 現在の、提示する
presence = 存在、出席
presentation = 発表、提示
"
417,"#417  
appease
","appease
アピーズ

意味：
なだめる
怒りを静める
要求を一部のんで相手を落ち着かせる
宥和する

例：
The manager tried to appease the angry customer.
店長は怒っている客をなだめようとした。

The government made concessions to appease the protesters.
政府は抗議者をなだめるために譲歩した。

He tried to appease his boss by apologizing.
彼は謝罪して上司の怒りを静めようとした。

ニュアンス：
appease は単なる calm down より、「相手の要求を少し受け入れて、怒りや不満を抑える」という感じがあります。政治では appeasement「宥和政策」として、強硬な相手に譲歩して衝突を避けようとする意味でも使います。

語源：
appease は古フランス語 apaisier（アペジエ）「平和にする、なだめる」から来ています。
a-（ア）= ～へ
pais（ペ）= 平和

pais はラテン語 pax（パークス）「平和」に由来します。

同じ語源の英語：
peace = 平和
peaceful = 平和な
appease = なだめる
appeasement = 宥和、なだめること
pacify = 平定する、なだめる
pacific = 平和的な、太平洋の
pact = 協定、条約
"
418,"#418  
dwindle
","dwindle
ドゥウィンドル

意味：
だんだん減る
次第に小さくなる
衰える
先細りになる

例：
Their savings began to dwindle.
彼らの貯金はだんだん減り始めた。

The number of visitors has dwindled.
訪問者数は減少してきた。

Food supplies are dwindling.
食料の備蓄が少なくなってきている。

ポイント：
dwindle は「急に減る」ではなく、「少しずつ減っていく」という感じです。
decrease より少し文学的・描写的です。

似た語：
decrease = 減る、減少する
decline = 減少する、衰える
shrink = 縮む、小さくなる
diminish = 減少する、弱まる
wane = 衰える、弱くなる

語源：
dwindle は古英語 dwinan（ドゥイーナン）「消えていく、衰える」に由来するとされます。
そこから「だんだん小さくなる、減っていく」という意味になりました。

関連語：
dwindling = 減少している、先細りの
dwindled = 減った、衰えた
dwindle away = だんだん消えていく
"
419,"#419  
novice
","novice
ノヴィス

意味：
初心者
未経験者
新米

ある分野を始めたばかりで、まだ経験が少ない人です。

例：
He is a novice programmer.
彼は初心者プログラマーです。

This course is designed for novices.
この講座は初心者向けです。

I’m still a novice at skiing.
私はスキーはまだ初心者です。

似た語：
beginner = 初心者。いちばん普通。
novice = 初心者、新米。少し硬め。
rookie = 新人。スポーツ・仕事でよく使う。
amateur = 素人。プロではない人。

語源：
novice はラテン語 novicius（ノウィキウス）「新しい、新参の」から、古フランス語 novice（ノヴィス）を経て英語に入りました。
novus（ノウス）= 新しい

同じ語源の英語：
new = 新しい
novel = 新しい、小説
novelty = 目新しさ
innovate = 革新する
innovation = 革新
renovate = 改修する
novice = 初心者、新米
"
420,"#420  
chick
","chick
チック

意味：
ひよこ
若い鳥
若い女性 ※古い・くだけた言い方で、場合によっては失礼

例：
A chick hatched from the egg.
卵からひよこがかえった。

The chicks are following the hen.
ひよこたちが雌鶏について歩いている。

注意：
chick = 若い女性、女の子、という意味もありますが、かなりカジュアルで、相手によっては失礼です。普通は使わない方が安全です。

語源：
chick は chicken の短縮形です。
chicken は古英語 cicen（チチェン）「若鶏、ひよこ」から来ています。

同じ語源・関連語：
chicken = 鶏、鶏肉
chick = ひよこ
chickpea = ひよこ豆 ※形がひよこに似ていることから
chickadee = アメリカの小鳥の名
"
421,"#421  
attentive
","attentive
アテンティブ

意味：
注意深い
気配りのある
よく注意を払っている
親切に世話をする

例：
The staff were very attentive.
スタッフはとても気配りがよかった。

Please be attentive during the training session.
研修中は注意深く聞いてください。

He is attentive to details.
彼は細部に注意を払う。

ポイント：
attentive は、単に「注意している」だけでなく、人に対して使うと「よく気がつく」「世話が行き届いている」という良い意味になります。

反対語：
inattentive
不注意な、注意散漫な

語源：
attentive は attend から来ています。
attend はラテン語 attendere（アッテンデレ）「注意を向ける、心を向ける」から来ました。
ad-（アド）= ～へ
tendere（テンデレ）= 伸ばす、向ける

同じ語源：
attend = 出席する、世話をする、注意を払う
attention = 注意
attentive = 注意深い、気配りのある
attendance = 出席
tend = ～しがちである、世話をする
extend = 伸ばす
intend = 意図する
tension = 緊張
"
422,"#422  
intermittent
","intermittent
インターミッテント

意味：
断続的な
時々止まる
時々起こる
途切れ途切れの

例：
intermittent rain
断続的な雨

intermittent pain
時々起こる痛み

The internet connection is intermittent.
インターネット接続が断続的に切れる。

There were intermittent power outages.
断続的な停電があった。

ポイント：
intermittent は「ずっと続いている」のではなく、「起こる、止まる、また起こる」を繰り返す感じです。

似た語：
occasional = 時々の
sporadic = 散発的な
periodic = 周期的な
intermittent = 断続的な

語源：
intermittent はラテン語 intermittere（インテルミッテレ）「間に中断を入れる、途中でやめる」から来ています。
inter-（インテル）= 間に
mittere（ミッテレ）= 送る、行かせる

同じ語源の英語：
intermit = 中断する
intermittent = 断続的な
mission = 任務、派遣
submit = 提出する、服従する
permit = 許可する
transmit = 送信する
admit = 認める、入場を許す
dismiss = 解散させる、退ける
"
423,"#423  
be prepared to + 動詞の原形
","be prepared to + 動詞の原形

意味：
～する準備ができている
～する覚悟がある
必要なら～するつもりである

例：
Please be prepared to answer questions.
質問に答える準備をしておいてください。

We must be prepared to change the schedule.
私たちは予定を変更する覚悟をしておく必要がある。

The company is prepared to offer a refund.
会社は返金する用意がある。

ポイント：
be ready to ～ と近いですが、be prepared to ～ の方が少し硬く、「準備・覚悟がある」という感じが強いです。

be prepared for + 名詞
～に備えている

例：
Be prepared for delays.
遅延に備えてください。

語源：
prepare はラテン語 praeparare（プラエパラーレ）「前もって用意する」から来ています。
prae-（プラエ）= 前に
parare（パラーレ）= 用意する、整える

同じ語源：
prepare = 準備する
preparation = 準備
prepared = 準備ができた
preparatory = 準備の
apparatus = 装置、器具
repair = 修理する ※「再び整える」の意味から来ています。
"
424,"#424  
coercive
","coercive
コアーシブ

意味：
強制的な
威圧的な
力ずくで従わせるような

例：
coercive measures
強制措置

coercive power
強制力

coercive behavior
威圧的な行動

The government used coercive measures.
政府は強制的な措置を使った。

ポイント：
coercive は、単に「強い」ではなく、「相手の自由意思を抑えて、従わせる」という感じです。政治、法律、軍事、職場のハラスメントなどで使います。

動詞：
coerce
コアース
強制する、無理やり従わせる

例：
He was coerced into signing the agreement.
彼はその契約に署名するよう強制された。

名詞：
coercion
コアーション
強制、威圧

語源：
coerce はラテン語 coercere（コエルケーレ）「抑え込む、囲い込む、制限する」から来ています。
co-（コ）= 一緒に
arcere（アルケーレ）= 閉じ込める、遠ざける

同じ語源・関連語：
coerce = 強制する
coercion = 強制
coercive = 強制的な
arcane = 秘密の、難解な ※arcere 系の「閉じ込める」と関係
ark = 箱舟、箱 ※遠い関連とされることがあります。
"
425,"#425  
stymie
","stymie
スタイミー

意味：
妨げる
邪魔する
行き詰まらせる
進行を阻む

例：
The project was stymied by budget cuts.
そのプロジェクトは予算削減で行き詰まった。

The investigation was stymied by a lack of evidence.
捜査は証拠不足で進展を阻まれた。

New regulations could stymie growth.
新しい規制が成長を妨げる可能性がある。

ポイント：
stymie は「完全に止める」というより、「前に進めなくする」「行き詰まらせる」という感じです。少し硬めの語です。

語源：
stymie はもともとゴルフ用語です。古いゴルフで、自分のボールとカップの間に相手のボールがあって、直接打てない状態を stymie と呼びました。そこから「進行を邪魔する」「行き詰まらせる」という一般的な意味になりました。

関連語：
stymied = 妨げられた、行き詰まった
obstruct = 妨害する
hinder = 妨げる
impede = 妨げる
hamper = 妨げる、制約する
"
426,"#426  
ace in the hole
","ace in the hole
エイス・イン・ザ・ホール

意味：
切り札
奥の手
いざという時の秘密兵器
隠してある強力な手段

例：
The new product is our ace in the hole.
その新製品は我々の切り札です。

He kept that information as an ace in the hole.
彼はその情報を奥の手として取っておいた。

語源：
ポーカー由来の表現です。
ace = エース、最強の札
hole = ポーカーで、他人に見せずに伏せて持つ札

つまり ace in the hole は、
「伏せ札として持っているエース」
→「まだ相手に見せていない強力な切り札」
という意味です。

似た表現：
trump card = 切り札
secret weapon = 秘密兵器
backup plan = 予備策
hidden advantage = 隠れた強み
"
427,"#427  
deterrent
","deterrent
ディターレント

意味：
抑止力
思いとどまらせるもの
犯罪・攻撃・悪い行動を防ぐためのもの

例：
Nuclear weapons are seen as a deterrent.
核兵器は抑止力と見なされている。

Strict penalties can act as a deterrent to crime.
厳しい罰則は犯罪の抑止力になり得る。

The alarm system is a deterrent against theft.
警報装置は盗難防止になる。

形容詞でも使います：
a deterrent effect
抑止効果

deterrent force
抑止力

語源：
deterrent は deter から来ています。
deter はラテン語 deterrere（デテルレーレ）「怖がらせて思いとどまらせる」から来ています。
de-（デ）= 離れて
terrere（テルレーレ）= 怖がらせる

同じ語源の英語：
deter = 思いとどまらせる、抑止する
deterrent = 抑止力、抑止の
deterrence = 抑止
terror = 恐怖
terrify = 怖がらせる
terrible = 恐ろしい
terrific = すごい、恐ろしい ※元は「恐怖を起こさせる」
"
428,"#428  
ramp up
","ramp up
ランプ・アップ

意味：
増やす
強化する
加速する
本格化させる

特に、生産量・活動量・支援・圧力・軍備などを「段階的に増やす」という意味です。

例：
The company plans to ramp up production.
会社は生産を増やす予定です。

Ukraine is ramping up drone production.
ウクライナはドローン生産を強化している。

The government ramped up pressure on the company.
政府はその会社への圧力を強めた。

We need to ramp up hiring.
採用を強化する必要がある。

ポイント：
increase より口語的で、「勢いをつけて増やす」「ギアを上げる」という感じがあります。

反対表現：
ramp down
減らす、縮小する

語源：
ramp はもともと「傾斜路、坂道」です。
車などが坂道を上がっていくイメージから、ramp up = 上へ上げる、増やす、強化する、となりました。

関連語：
ramp = 傾斜路、ランプ
ramp up = 増やす、強化する
ramp down = 減らす、縮小する
scale up = 拡大する
step up = 強化する、増やす
"
429,"#429  
vis-?-vis
","vis-?-vis
ヴィザヴィ／ヴィズアヴィ

意味：
～に対して
～と比べて
～との関係で
～に向かい合って

少し硬い表現です。英語では、比較・関係を述べるときによく使います。

例：
Japan's position vis-?-vis China is complicated.
中国に対する日本の立場は複雑です。

The yen weakened vis-?-vis the dollar.
円はドルに対して下落した。

We need to consider our policy vis-?-vis Russia.
ロシアに対する我々の政策を考える必要がある。

元の意味：
「向かい合って」
「面と向かって」

語源：
フランス語 vis-?-vis（ヴィザヴィ）から来ています。
vis = 顔、面
? = ～に
vis = 顔、面

つまり直訳は「顔と顔を向かい合わせて」です。

同じ語源・関連語：
vision = 視覚、構想
visible = 見える
visual = 視覚の
visit = 訪問する
vista = 眺め
visage = 顔、顔つき
"
430,"#430  
incendiary
","incendiary
インセンディアリー

意味：

火をつける、焼夷性の
扇動的な、人を怒らせる、対立をあおる

例：
incendiary bomb
焼夷弾

incendiary device
発火装置、焼夷装置

His speech was incendiary.
彼の演説は扇動的だった。

The article used incendiary language.
その記事は人をあおるような表現を使っていた。

ポイント：
incendiary はもともと「火をつける」という意味です。そこから比喩で、「怒り・暴動・対立に火をつける」→「扇動的な」という意味になります。

名詞でも使います：
an incendiary
放火犯、扇動者、焼夷弾

語源：
incendiary はラテン語 incendium（インケンディウム）「火事、火災」から来ています。
incendere（インケンデレ）= 火をつける、燃やす
in-（イン）= 中へ、上に
candere（カンデーレ）= 白く輝く、燃えるように光る

同じ語源：
incense = 香、激怒させる
incandescent = 白熱した、白熱電球の
candle = ろうそく
candor = 率直さ ※「白さ、明るさ」から
candidate = 候補者 ※古代ローマで白い服を着たことから
candid = 率直な、隠し立てしない
"
431,"#431  
cocky and bold
","cocky and bold
コッキー・アンド・ボールド

意味：
生意気で大胆な
自信過剰で、怖いもの知らずの
うぬぼれていて、思い切った態度の

cocky = うぬぼれた、生意気な、自信過剰な
bold = 大胆な、恐れない、思い切った

例：
He was cocky and bold in the debate.
彼は討論で生意気で大胆だった。

The young commander sounded cocky and bold.
その若い指揮官は、自信過剰で大胆に聞こえた。

ニュアンス：
cocky は悪い意味です。「自信がありすぎて鼻につく」。
bold は良い意味にも悪い意味にもなります。「勇敢・大胆」でもあり、「ずうずうしい・無遠慮」でもあります。

cocky and bold は、
「態度は少し生意気だが、行動は大胆」
という感じです。

語源：
cocky は cock（コック）「雄鶏」から来ています。雄鶏が胸を張って威張るように見えることから、「生意気な、自信過剰な」という意味になりました。
bold は古英語 beald / bald（ベアルド／バルド）「勇敢な、大胆な」から来ています。

関連語：
cocky = 生意気な、自信過剰な
cockiness = 生意気さ
bold = 大胆な
boldly = 大胆に
boldness = 大胆さ
embolden = 勇気づける、強気にさせる
"
432,"#432  
antithetical
","たぶん antithetical です。
アンティセティカル

意味：
正反対の
相いれない
対立する
まったく相反する

例：
His views are antithetical to mine.
彼の考えは私の考えと正反対です。

Violence is antithetical to democracy.
暴力は民主主義とは相いれない。

That policy is antithetical to our values.
その政策は私たちの価値観と相いれない。

形：
be antithetical to ～
～と正反対である
～と相いれない

語源：
antithetical は antithesis から来ています。
antithesis はギリシャ語 antithesis（アンティテシス）「反対に置くこと、対立」から来ました。
anti-（アンティ）= 反対の
tithenai（ティテナイ）= 置く

同じ語源：
antithesis = 正反対、対照
antithetical = 正反対の
thesis = 論文、命題
hypothesis = 仮説
synthesis = 統合、合成
parenthesis = 括弧、挿入句
"
433,"#433  
write it off
","write it off
ライト・イット・オフ

意味：

見込みがないとして諦める
重要でないとして無視する
損金処理する、帳簿から消す
車などを全損扱いにする

例：
Don’t write him off yet.
まだ彼を見限るな。

Many people wrote the team off after their first loss.
多くの人は初戦で負けた後、そのチームはもうダメだと見なした。

The company wrote off the bad debt.
会社はその不良債権を損金処理した。

The car was written off after the accident.
その車は事故後、全損扱いになった。

ポイント：
write off はもともと会計で「帳簿から消す」という意味です。そこから比喩で、「もう価値がない」「見込みがない」と判断して切り捨てる、という意味になります。

語源：
write は古英語 writan（リタン）「刻む、書く」から来ています。
off は古英語 of / off（オフ）「離れて」から来ています。

write off は語源的には「書いて帳簿から外す」→「損失として処理する」→「見限る」という流れです。

関連語：
write-off = 損金処理、全損、見限り
write down = 評価額を下げる、書き留める
write up = 詳しく書く、評価額を上げる
write out = 書き出す
write in = 書き込む
"
434,"#434  
porcupine
","porcupine
ポーキュパイン

意味：
ヤマアラシ

体に長いトゲのような毛を持つ動物です。敵に襲われると、そのトゲで身を守ります。

例：
A porcupine has sharp quills.
ヤマアラシには鋭いトゲがあります。

The dog got too close to a porcupine.
犬がヤマアラシに近づきすぎた。

quill
クイル
意味：ヤマアラシなどのトゲ、羽ペン

語源：
porcupine は古フランス語 porc espin（ポルク・エスパン）から来ています。
porc（ポルク）= 豚
espin（エスパン）= トゲのある

つまり語源的には「トゲのある豚」です。

同じ語源・関連語：
pork = 豚肉
porcine = 豚の
porcupine = ヤマアラシ
spine = 背骨、トゲ
spiny = トゲのある
spike = とがったもの、急上昇
"
435,"#435  
impregnable
","impregnable
インプレグナブル

意味：
難攻不落の
攻め落とせない
突破できない
論破できないほど強固な

城・要塞・防御・議論・立場などに使います。

例：
The fortress was considered impregnable.
その要塞は難攻不落と考えられていた。

an impregnable defense
突破できない防御

His argument seemed impregnable.
彼の議論は反論できないほど強固に見えた。

ポイント：
軍事なら「攻め落とせない」。
比喩なら「崩せない、反論できない、揺るがない」。

語源：
impregnable は古フランス語 imprenable（アンプルナーブル）「取ることができない、捕らえられない」から来ています。
in-（イン）= ～できない
prendre（プランドル）= 取る、捕らえる

prendre はラテン語 prendere / prehendere（プレンデレ／プレヘンデレ）「つかむ、捕らえる」に由来します。

同じ語源：
prison = 監獄
prisoner = 囚人
prehend = つかむ
comprehend = 理解する ※頭でつかむ
apprehend = 逮捕する、理解する
enterprise = 事業 ※「引き受ける」系統
surprise = 驚かせる ※不意につかむ、から。
"
436,"#436  
tiptoeing away
","tiptoeing away
ティップトウイング・アウェイ

意味：
つま先立ちでそっと立ち去っている
音を立てないようにこっそり離れていく

tiptoe = つま先で歩く、忍び足で歩く
away = 離れて、去って

例：
He was tiptoeing away from the room.
彼は部屋からそっと忍び足で立ち去っていた。

The child tiptoed away so no one would notice.
その子は誰にも気づかれないように、そっと立ち去った。

ポイント：
tiptoeing away は、ただ「歩いて去る」ではなく、「見つからないように」「静かに」「こっそり」という感じがあります。

語源：
tiptoe は tip + toe です。
tip（ティップ）= 先端
toe（トウ）= 足の指

つまり tiptoe は「足の指の先」→「つま先立ちで歩く」という意味です。

関連語：
tiptoe = つま先で歩く、忍び足で歩く
tiptoeing = つま先で歩いている
on tiptoe = つま先立ちで
sneak away = こっそり立ち去る
creep away = 忍び足で去る
"
437,"#437  
nursery
","nursery
ナーサリー

意味：
保育園
託児所
子ども部屋
苗床、苗木畑

文脈で意味が変わります。

保育園、託児所
特に小さい子どもを預かる場所です。

例：
She works at a nursery.
彼女は保育園で働いている。

The child goes to nursery.
その子は保育園に通っている。

子ども部屋
赤ちゃんや幼児の部屋。

例：
They painted the nursery blue.
彼らは子ども部屋を青く塗った。

苗床、苗木畑
植物を育てる場所。園芸店・苗木店の意味にもなります。

例：
I bought some plants at a nursery.
苗木店で植物を買った。

語源：
nursery は nurse から来ています。
nurse はラテン語 nutrire（ヌートリーレ）「養う、育てる」から、古フランス語 nourrice（ヌリス）を経て英語に入りました。

同じ語源：
nurse = 看護師、世話をする
nursery = 保育園、子ども部屋、苗床
nurture = 育てる、養育する
nutrition = 栄養
nutrient = 栄養素
malnutrition = 栄養失調
"
