ID,問題,答え
604,"DJ-NW-H25

1000BASE-Tと1000BASE-TXの違いは何か?
","① 1000BASE-T
　・Cat5e以上のケーブルを使用
　・4対すべてを使い、各対で同時に送受信（全二重通信）
　・現在の標準で広く普及

② 1000BASE-TX
　・Cat6以上が必要、2対のみ使用（送信1対・受信1対）
　・高価でほとんど普及せず
"
605,"DJ-NW-H25

無線LANにおけるWPA2の特徴はどれか。

ア　AHとESPの機能によって認証と暗号化を実現する。

イ　暗号化アルゴリズムにAESを採用したCCMP (Counter-mode with CBC-MAC Proto col) を使用する。

ウ　端末とアクセスポイントの間で通信を行う際に、 SSL Handshake Protocol を使用して,お互いが正当な相手かどうかを認証する。

エ　利用者が設定する秘密鍵と,製品で生成するIV(Initialization Vector)とを連結した 数字を基に,データをフレームごとにRC4で暗号化する。
","【正解】　イ

ア　×
AH（Authentication Header）とESP（Encapsulating Security Payload）は、IPsecで使われる技術であり、無線LANのWPA2とは関係ありません。

イ　○
WPA2では、暗号化方式として AES を用いた CCMP（Counter Mode with Cipher Block Chaining Message Authentication Code Protocol） が採用されています。これにより、高い安全性を実現しています。

ウ　×
SSL Handshake Protocol はWeb通信（HTTPSなど）で使われるもので、無線LANの認証方式ではありません。

エ　×
これはWEP（Wired Equivalent Privacy）の説明です。WEPではRC4とIVを用いて暗号化しますが、安全性が低く、WPA/WPA2で廃止されました。
"
606,"DJ-NW-H25

パイプラインの深さをD, パイプラインピッチをP秒とすると、1個の命令をパイプラインで 実行するのに要する時間を表す式はどれか。ここで,パイプラインは1本だけとし,全ての命令は処理にDステージ分の時間がかかり、各ステージは1ピッチで処理されるものとす る。また,パイプラインハザードについては,考慮しなくてよい。

ア　(I+D) xP

イ　 (I+D-1)xP

ウ　(I+D) + P

エ　 (IxD-1)+P
","【正解】　イ　← 分かれば簡単

パイプライン制御は、CPU処理を高速化させるため、1命令を、命令読出し(フェッチ)、解読(デコード)、アドレス計算、オペランド呼出し、実行などのように複数のステージに分け、各ステージを少しずつずらしながら独立した処理機構で並列に実行することで、処理時間全体を短縮させる技法です。パイプライン処理が完了するまでの時間を求める公式は、

(I+D-1)xP

I : 実行する命令数

D : パイプラインの深さ (命令を分割するステージ数)

P: パイプラインのピッチ(ステージ毎の実行時間)
"
607,"DJ-NW-H25

IPv6プロトコルスタックしか持たないホストとIPv4プロトコルスタックしかもたないホストとの間で通信するための技術はどれか。

ア　6to4

イ　IPv4/IPv6トランスレーション

ウ　Teredo

エ　キャリアグレードNAT
","【正解】　イ
"
608,"DJ-NW-H25

伝送速度が128kビット/秒の回線を用いて, 128×103バイトのデータを転送するために必要な時間はおよそ何秒か。ここで,転送するときの一つの電文の長さは128バイトであり, ヘッダーなどのオーバーヘッドを除いて送信できるデータは100バイトである。また,電文 の送信間隔(電文の末尾から次の電文の始まりまで)は,平均1ミリ秒とする。

ア　2.6

イ　+ 8

ウ　10

エ　12
","【正解】　エ　← 丸暗記しよう

まず回線の速度をバイト単位に変換します。

128kビット/秒→16000バイト/秒

1件の電文には100バイトのデータを含めることができるので、128×103 バイトのデータを電文にすると、

128000+100 = 1280

1280件の電文になります。 電文1件は128バイトなので、 伝送に要する時間は、

128×1280÷16000=10.24

さらに電文の送信間隔は1ミリ秒なので、1280件送信すると1279ミリ秒の待ち時間が生じます。

10.24+1.279=11.519

したがって約12秒になります。
"
609,"DJ-NW-H25

PPPに関する記述のうち, 適切なものはどれか。

ア　上位プロトコルとして使用できるのは, IPに限られている。

イ　伝送モードは半二重方式である。

ウ　認証プロトコルや圧縮プロトコルが規定されている。

エ　ベーシック手順を基にしたプロトコルである。

","【正解】　ウ

ア　×
PPP（Point-to-Point Protocol）は、上位プロトコルとして IPに限らず、IPX や AppleTalk など、さまざまなネットワーク層プロトコルを扱うことができます。
→ 誤り。

イ　×
PPPは 全二重通信で動作します。
→ 半二重ではありません。誤り。

ウ　○
PPPは、基本仕様（RFC 1661）に加え、認証プロトコル（PAP, CHAPなど）、圧縮プロトコル（Stac LZSなど）などを拡張プロトコルとして定義しています。
→ 正しい。

エ　×
ベーシック手順（HDLC）を基にしてはいますが、PPPは HDLCの拡張形式（LCP/NCPを含む）を用いる独立したプロトコルです。「ベーシック手順を基にした」という表現は誤り。

✅ 正解：ウ
"
610,"DJ-NW-H24

組込みソフトウェアなどの設計にも有効な技法であって,システムをプラットフォームに依存する部分と依存しない部分とに分けてモデル化することを特徴とする技法はどれか。

ア　CSM

イ　MDA

ウ　OMT

エ　UML
","【正解】　イ

MDA（Model Driven Architecture：モデル駆動型アーキテクチャ） は、組込みソフトウェアや大規模システムの設計にも有効な技法で、プラットフォームに依存しないモデル（PIM: Platform Independent Model） とプラットフォームに依存するモデル（PSM: Platform Specific Model）に分けて設計を行うことを特徴とします。

これにより、同じPIMから異なるプラットフォーム向けのPSMを生成することができ、
移植性・再利用性を高めることができます。

他の選択肢：

ア　CSM（Communication System Model）：通信システム関連のモデルで、設計技法ではない。

ウ　OMT（Object Modeling Technique）：オブジェクト指向分析・設計手法の一つ。UMLの前身。

エ　UML（Unified Modeling Language）：モデリング言語であり、設計技法そのものではない。
"
611,"DJ-NW-H24

ハミング符号の用途の説明として,適切なものはどれか。

ア　Bluetooth通信で,ビット誤りを訂正するために使われている。

イ　G3ファクシミリで画像データの圧縮に使われている。

ウ　HDLCフレーム内のビット誤りを検出するために使われている。

エ　MP3でオーディオデータの圧縮に使われている。
","【正解】　ア
"
612,"DJ-NW-H24


通信プロトコルの記述などに使用される表記法であり、事象の発生と,そのときの状態に応 じたシステムの動作を記述するのに、最も適切なものはどれか。

ア　決定表

イ　状態遷移図

ウ　データフローダイアグラム

エ　特性要因図
","【正解】　イ


状態遷移図（State Transition Diagram）
　→ システムがどの「状態」にあり、どんな「事象（イベント）」が起こるとどの「状態」に遷移するのかを表す図。
　→ 通信プロトコルの動作（接続要求→応答→通信中→切断など）を表現するのに最も適しています。

他の選択肢：

ア　決定表：条件と処理結果を組み合わせて論理的に整理する表。条件分岐の整理に使う。

ウ　データフローダイアグラム（DFD）：データの流れを表す図。プロセスやデータストア間の関係を表現。

エ　特性要因図：品質管理などで、原因と結果（特性）の関係を整理する図。魚の骨の形に描く。
"
613,"DJ-NW-H24

何が間違いか？

RADIUSでは、クライアントPCとアクセスポイントとの間で公開鍵暗号方式による暗号化通信を実現できる。
","✖ 誤りのポイント
ユーザーパスワード部分だけが暗号化されます。共通鍵（共有秘密鍵） 方式

🔍 解説

RADIUS（Remote Authentication Dial-In User Service） は、
認証サーバーとネットワーク機器（例：アクセスポイント、NAS）との間で 認証・認可・課金情報（AAA）をやり取りするプロトコル です。

つまり、RADIUSが暗号化するのは 「アクセスポイント（NAS）とRADIUSサーバ間」 の通信の一部です。
このとき使われる暗号化は 共通鍵（共有秘密鍵） 方式であり、公開鍵暗号ではありません。

一方、クライアントPCとアクセスポイント間の暗号化通信は、WPA2やWPA3などの無線LANの暗号化方式（AES-CCMPなど） によって実現されます。
RADIUSはこの段階の暗号化には関与しません。

✅ 正しい説明に直すと

RADIUSでは、アクセスポイントとRADIUSサーバ間で共有秘密鍵に基づく認証情報の保護を行う。
クライアントPCとアクセスポイント間の暗号化通信は、WPA2やWPA3などによって実現される。

🛡️ 暗号化の範囲
RADIUSメッセージの中で暗号化されるのは ユーザーパスワード のみ。
"
614,"DJ-NW-H23

ソフトウェア開発組織の活動状態のうち,CMMIにおけるプロセス成熟度が最も高いものはどれか。

ア　作業成果物の状況が,主要なタスクの完了時点で管理層に対して見える状態になっている。

イ　実績が定量的に把握されており,プロセスが組織的に管理されている。

ウ　プロセスが明文化されて、組織内のすべての人がそれを利用している。

エ　プロセスそれ自体を改善していくための仕組みが機能している。
","正解は👉エ　プロセスそれ自体を改善していくための仕組みが機能している。

レベル	名称	特徴	選択肢の対応

1	初期（Initial）	プロセスが属人的で、場当たり的。	―

2	管理された（Managed）	プロジェクト単位で計画・管理される。	ア

3	定義された（Defined）	組織全体で標準化・文書化されたプロセスを使用。	ウ

4	定量的に管理された（QuantitativelyManaged）	プロセスを定量的に把握し、数値で管理。	イ

5	最適化している（Optimizing）	継続的なプロセス改善を実施。	✅エ
"
615,"DJ-NW-H23

SPIとは
","SPIは、IPsec（特にAHやESP）で使われる識別子で、
通信中のセキュリティアソシエーション（SA）を区別するための番号です。
"
616,"DJ-NW-H23

GPSの周波数は
","GPS　約1.2～1.6GHz帯
"
617,"DJ-NW-H23

OSPFv2のLSAに関する作成と伝播の記述のうち,適切なものはどれか。

ア　AS-External-LSAは,エリア境界ルータが作成し,ASの外部だけに伝播される。

イ　Network-LSAは,エリア内の全ルータが作成し,エリア内部だけに伝播される。

ウ　Router-LSAは,エリア内の全ルータが作成し,エリア内部だけに伝播される。

エ　Summary-LSAは,AS境界ルータが作成し,エリア外部だけに伝播される。
","【正解】　ウ

ア　AS-External-LSA（タイプ5）：AS境界ルータ（ASBR）が外部ASの経路情報を作成し、全OSPFエリアに伝播する（スタブ除く）。

イ　Network-LSA（タイプ2）：指定ルータ（DR）がネットワーク上の接続ルータ情報を作成し、同一エリア内にのみ伝播する。　←指定ルータ（DR）が

ウ　Router-LSA（タイプ1）：各ルータが自分の接続状態を示す情報を作成し、同一エリア内にのみ伝播する。　←各ルータが

エ　Summary-LSA（タイプ3）：エリア境界ルータ（ABR）が他エリアの経路情報を作成し、他のエリアに伝播する。　←エリア境界ルータ（ABR）が
"
618,"DJ-NW-H23

SANは何の略か
","StorageAreaNetwork
ディスクストレージとサーバの間を専用のネットワークで接続する仕組みです。
"
619,"DJ-NW-H22

is-a
part-of
","オブジェクト指向において上位クラスと下位クラスの関係には、is-a(汎化-特化)関係と、part-of(集約-分解)関係があります。

is-a(汎化-特化)関係
「動物-犬」や「家電テレビ」などのように「...は、○○である」で表される関係。

part-of(集約分解)関係
「コンピューターCPU」や「自転車-サドル」などのように「...は、○○の一部である」
で表される関係。

表の3つの関係をどちらかに当てはめると、
a.タイヤは自動車の一部であるのでpart-of関係になります。

b.人間は動物であるのでis-a関係になります。

c.辞書は書物であるのでis-a関係になります。
"
620,"DJ-NW-H22

LANに関する記述のうち,1000BASE-Tを説明したものはどれか。

ア　2対のUTPケーブルを使用し、最大距離は100mである。

イ　4対のUTPケーブルを使用し,最大距離は100mである。

ウ　シングルモード光ファイバケーブルを使用し、最大距離は5kmである。

エ　マルチモード光ファイバケーブルを使用し、最大距離は400mである。
","【正解】　イ

✅結論から言うと

💡100Mbpsまでは2対使用、1Gbps以上は4対使用。
「T」だろうと「TX」だろうと、結局使う対数は同じです。

🔹詳細解説
規格	名称の例	速度	使用対数	備考

10BASE-T	10Mbps	2対	古いEthernet	

100BASE-TX	100Mbps	2対	100BASE-Tの主流方式	

1000BASE-T	1Gbps	4対	ギガビット以降は全対使用	

10GBASE-T	10Gbps	4対	全4対を同時に使用	
"
621,"DJ-NW-H22

SDP(SessionDescriptionProtocol)の説明として,適切なものはどれか。

ア　音声,映像などのメディアの種類,データ通信のためのプロトコル、使用するポート番号などを記述する。

イ　音声情報をリアルタイムストリームとしてIPネットワークに送り出す際のペイロード種別,シーケンス番号,タイムスタンプを記述する。

ウ　パケットの欠落数やパケット到着間隔のばらつきなどの統計値のやり取りに使用する。

エ　ユーザーエージェント相互間で、音声や映像などのマルチメディア通信のセションのザー確立、変更,切断を行う。
","【正解】　ア
"
622,"DJ-NW-H21

TCP/IPネットワークで使用されるARPの説明として、適切なものはどれか。

ア　IPアドレスからMACアドレスを得るためプロトコル

イ　IPアドレスからホスト名(ドメイン名)を得るためのプロトコル

ウ　MACアドレスからIPアドレスを得るためのプロトコル

エ　ホスト名(ドメイン名)からIPアドレスを得るためのプロトコル
","【正解】　ア　←こんなのを間違えた。

ARP(AddressResolutionProtocol)は、IPアドレスから対応する機器のMACアドレスを取得するプロトコルです。したがって「ア」が正解です。

IPアドレスからMACアドレスを得る手順は以下の通りです。
1.ARP要求フレームに送信元のIPアドレスMACアドレスとMACアドレスを得たいノードのIPアドレスを格納して、イーサネットネットワークにブロードキャストする。

」2.ARP要求フレームを受け取った各ノードは、フレーム内の解決対象IPアドレスが自身のIPアドレスと一致すれば、ARP応答フレームに自身のMACアドレスを格納して送信元にユニキャストで送信する。
"
623,"DJ-NW-H21

HTTPのGETメソッドとPOSTメソッドに関する記述のうち,適切なものはどれか。

ア　GETの実装は必須であるが,POSTはオプションである。

イ　GETはサーバへの送信,POSTはサーバからの応答である。

ウ　POSTの応答はキャッシュされるが,GETはキャッシュされない。

エ　POSTはサーバのCGIを起動できるが,GETは起動できない。
","【正解】　ア
"
624,"DJ-NW-H21

学会で技術内容を発表した日から11か月目に出願した。これで特許は取れるか?
","🔹状況まとめ

Aさん：発明者。学会で発表（＝公開）した。

1か月後にBさん：その発表内容を基に特許出願→登録されてしまった。

Aさん：11か月後（＝発表から11か月以内）に、自分で特許出願した。

そしてあなたの質問は、

「Aさんは、11か月以内なら、自分の発明を“取り返す”ように特許を取れるのか？」
ですね。
Aさん（最初の発明者）は、
✅発表から1年以内に自分で出願すれば「新規性喪失の例外」で特許を取れる。
✅同時に、Bさんの特許を「無効審判」で取り消せる。
⚠️ただし、自動的に“取り返せる”わけではなく、手続きが必要。
"
625,"DJ-NW-H21

CSMA/CD方式のブリッジで接続された二つのセグメント間で,ブロードキャストフレームの中継と、衝突発生時にできる不完全フレームの中継について,適切な組み合わせはどれか。

ブロードキャストフレームの中継するか
不完全フレームの中継するか
","【正解】
　
ブロードキャストフレーム　中継しない

不完全フレーム　中継しない

ブリッジは、ブロードキャストフレームを受信すると他の全てのポートからフレームを一斉に送信します。
また、CSMA/CD方式では衝突が検出したホストは送信を中止するため不完全なフレームがネットワークを流れます。この不完全フレームはリピータで隔てられた別セグメントへは送られますが、ブリッジを超えて中継されることはありません。
"
626,"DJ-NW-H21

ブラックボックステストのテストデータの作成方法のうち、最も適切なものはどれか。

ア　稼動中のシステムから実データを無作為に抽出し,テストデータを作成する。

イ　機能仕様から同値クラスや限界値を識別し,テストデータを作成する。

ウ　業務で発生するデータの発生頻度を分析し,テストデータを作成する。

エ　プログラムの流れ図から,分岐条件に基づいたテストデータを作成する。
","【正解】　イ

ブラックボックステスト（＝仕様ベーステスト）は、プログラムの内部構造を考慮せず、外部から見た機能仕様に基づいてテストを行います。
したがって、テストデータの作成方法として適切なのは、

・機能仕様をもとに入力範囲をグループ化（＝同値クラス分割）したり、
・境界付近の値を重点的に確認（＝限界値分析）したりする方法です。

ア：実データを抽出→再現性や網羅性に欠ける。テストには不適。

ウ：データの発生頻度分析→性能テストや運用評価では使うが、ブラックボックステストの設計法ではない。

エ：プログラムの流れ図を利用→内部構造に基づくホワイトボックステストの手法。

✅したがって、正答は「イ」です
"
627,"DJ-AP-R7A

データ分析手法の一つである,アソシエーション分析はどれか。

ア　結果となる数値(目的変数)と要因となる数値(説明変数)との関係性について,最小二乗法を用いて分析する。気温の変化が売行きにどの程度影響するかなどの事象の予測に用いられる。

イ　商品を購買するときの関連性や同時性などのルールを購買データに基づいて見いだすなど,データ間の統計的なパターンや、意味のある関連性を抽出する。信頼度,支持度及びリフト値によってルールを評価し、有効性を確認する。

ウ　多数の変数の情報(観測変数)に存在する共通因子を仮定し,モデル化して分析する。共通因子を設けることによってデータの数が増加しても複雑になることを防ぎ、現象を分かりやすく捉えることができる。

エ　多数の変数の情報(観測変数)をできるだけ少ない指標や次元(合成変数)で要約する。データのもつ情報をできる限り損なわずに全体の傾向を可視化することができる。
","【正解】　イ

アソシエーション分析は、データの中から項目同士の隠れたつながりや法則性を見い出すデ-タマイニングの手法です。Associationは「つながり」や「関連性」などの意味をもつ英単語です。

ア：回帰分析
→目的変数と説明変数の関係を最小二乗法などで分析する手法。
例：気温とアイスの売上の関係。
→回帰分析の説明です。

イ：アソシエーション分析（関連ルール分析）✅
→データの中から「一緒に起きやすい項目の組合せ（ルール）」を見つける分析。
例：「パンを買う人はバターも買いやすい」
→支持度・信頼度・リフト値でルールの強さを評価します。

ウ：因子分析
→多数の観測変数から、背後にある共通因子を推定する手法。
→「複雑なデータを要因でまとめる」分析。

エ：主成分分析（PCA）
→多数の変数を少数の合成変数（主成分）にまとめ、次元を圧縮する手法。
→「データの全体傾向を可視化」するために使われます。
"
628,"DJ-AP-R7A

委託元への著作権の移転に関する条項を含むソフトウェア開発委託契約書に,""委託先は著作者人格権を行使しない""という記載があった。これはどのような問題の発生を防ぐためのものか。

ア　委託先で当該ソフトウェアを開発した開発者が、技術者倫理に関しての責任を負わなくなることを防ぐ。

イ　委託先で当該ソフトウェアを開発した開発者を、委託元が後で雇用できなくなることを防ぐ。

ウ　納品されたソフトウェアに不具合が発見された場合に,委託先が金銭的補償を負わなくなることを防ぐ。

エ　納品されたソフトウェアを委託先の了解なく委託元で修正できなくなること,又は他の会社に修正を依頼できなくなることを防ぐ。
","【正解】　エ

著作者人格権は、著作権とは別に、著作物を創作した著作者自身に与えられる権利

公表権
著作物を公表するかどうかを決定できる権利

氏名表示権
著作物の公表に際して、著作者名を表示するかどうかを決定できる権利

同一性保持権
著作者の意に反して著作物の内容や題名を変更されない権利

著作者人格権は一身専属な権利であり、その譲渡が明文で禁止されています。そのため、著作権そのものと違って、契約で請負人から発注者に譲渡することができません。
契約で著作権を譲渡すると定めていても、著作者人格権について何も決めていなければ、著作者が「公表しない」「名前を出してほしい」「勝手に変更するな」と主張した場合、それに従わなければなりません。このようなトラブルを未然に防ぐため、物の引渡しを伴う請負契約では、著作権の譲渡特約とともに「著作者人格権を行使しない」とする不行使条項を入れておくのが一般的です。""譲渡""が認められていないため、""不行使""という約定で調整する形です。
"
629,"DJ-AP-R7A

laC(InfrastructureasCode)の説明として,適切なものはどれか。

ア　OS,仮想化ソフトなどが何もインストールされていない,初期状態のサーバである。

イ　サーバなどの新規利用申請があった場合に,資源の割当て,設定などを手動で行い,利用可能な状態にする。

ウ　システムの構成,設定などをプログラムとして記述し、専用のソフトウェアがその内容に従って自動的にシステムに適用する。

エ　利用者は,OS,アプリケーションなどの任意のソフトウェアをインフラストラクチャに手動で実装し,操作することができる。
","【正解】　ウ
“あなたの解答:工”

laC(InfrastructureasCode)は、インフラストラクチャ、すなわちシステムの動作基盤となるサーバ、ネットワーク、OS、ミドルウェアなどの設定をプログラムのコードとして管理することで、その変更やセットアップ作業をソフトウェアで自動化する手法です。

手順書に基づいて手作業で行っていた従来の作業と比較すると、設定作業の工数削減や共通化、人為的ミスのリスク低減といった利点があります。ただし、最初のコード化にはある程度のコストがかかります。laCツールとしては、Terraform、AWSCloudFormation、Pulumi、Ansibleなどが有名です。

ア　“OS,仮想化ソフトなどが何もインストールされていない,初期状態のサーバである。""
ベアメタルの説明です。

イ　“サーバなどの新規利用申請があった場合に,資源の割当て,設定などを手動で行い,利用可能な状態にする。
従来行われきた手動のプロビジョニング作業です。laCは手動ではなく、コードにより自動で一貫したサーバ構築・変更等を行います。

ウ　“システムの構成,設定などをプログラムとして記述し、専用のソフトウェアがその内容に従って自動的にシステムに適用する。
正しい。laCの説明です。サーバやソフトウェアの構成・設定情報をHCLやYMALなどの言語で記述し、専用のソフトウェアがその内容に従ってシステム環境を再現します。


エ　“利用者は,OS,アプリケーションなどの任意のソフトウェアをインフラストラクチャに手動で
実装し,操作することができる。”
laaS(InfrastructureasaService)の説明です。

"
630,"DJ-AP-R7A

サービスマネジメントのサービス可用性管理において,インシデント又は将来インシデントとなる可能性のある事象について,その発生経路及び発生原因を分析し、発生確率の算出に使用できる技法はどれか。

ア　故障の木解析(FTA)

イ　故障モード影響解析(FMEA)

ウ　コンポーネント障害インパクト分析(CFIA)

エ　単一障害点分析(SPOF分析)
","【正解】　ア
“あなたの解答:イ”

ア　“故障の木解析(FTA)""
正しい。FTA(FaultTreeAnalysis:故障木解析)は、樹形図を使って上位の事象から下位の原因へと順に分解することで、故障などの好ましくない事象の発生経路・原因・確率を明らかにする手法です。
上位事象と下位事象の関係は、発生確率とゲート(OR/AND)で表し、基本事象の発生確率から積み上げる形で、下位事象の確率から最上位事象の発生確率を論理的に導き出します。分析対象の事象(矩形枠)、基本事象(丸枠)、非展開事象(菱形枠)、通常事象(家型枠)ORゲートやANDゲート(論理回路記号と同じ)、移行(三角枠)などの図記号を使います。

イ　“故障モード・影響解析(FMEA)""
故障モード・影響解析は、システムや製品がどのように故障する可能性があるかを事前に洗い出し、その影響の重大さや発生確率を分析するとともに、実際に故障が起きた場合のアクションを決めるための手法です。FMEAは「FailureModeandEffectsAnalysis」の略です。

ウ　""コンポーネント障害インパクト分析(CFIA)""
コンポーネント障害インパクト分析は、システムを構成する各部品(コンポーネント)が故障した場合に、どのような影響が全体に及ぶかを格子分析で把握する方法です。解決策を作り、活動計画を作るまでの一連の活動を含みます。CFIAは「ComponentFailureImpactAnalysis」の略です。

エ　""単一障害点分析(SPOF分析)”
単一障害点分析は、その1箇所の障害がシステム全体の停止に繋がる部分を明らかにする手法です。SPOFは「SinglePointofFailure」の略です。
"
631,"DJ-AP-R7A

誤り検出方式であるCRCに関する記述として,適切なものはどれか。

ア　検査用のデータは,検査対象のデータを生成多項式で処理して得られる1ビットの値である。

イ　受信側では,付加されてきた検査用のデータで検査対象のデータを割り、 余りがなければ送信が正しかったと判断する。

ウ　送信側では,生成多項式を用いて検査対象のデータから検査用のデータを作り,これを検査対象のデータに付けて送信する。

エ　送信側と受信側では,異なる生成多項式が用いられる。
","
CRC(Cyclic Redundancy Check:巡回冗長検査)は、ネットワーク伝送やストレージなどにおいて用いられる誤り検出方式です。生成多項式を使用して検査用データの生成と検証を行う仕組みで、単純なパリティチェックでは検出できない偶数個の誤りやバースト誤りを検出できる特徴があります。

CRCの基本的な原理は次のとおりです。
1. 送信側は、検査対象のデータを生成多項式 (ビット列) で割り、その余りを検査用データとする
例) 10001000 mod 1010 = 110

2. 送信側は、検査対象のデータに検査用データを付加して送信する
例)検査対象データ: 10001000、 検査用データ:110

3. 受信側は、検査対象データ+ 検査用データを、送信側と同じ生成多項式で割る
例)(10001000 + 110) mod 1010 = 0

4.3.で計算した余りが0であれば""誤りなし""と判断する
"
632,"DJ-AP-R7A

エラー埋込み法を用いて残存エラー数を推定する。当初の埋込みエラーは48個である。テス ト期間中に発見されたエラーの内訳は、 埋込みエラーが36個, 真のエラーが42個である。 このとき,残存する真のエラーは何個と推定されるか。
","【正解】　14個　← 「残存」だよ。これを落とすともったいないぞ。
"
633,"DJ-AP-R7A

サービスマネジメントにおける問題管理の活動はどれか。

ア　根本原因の特定

イ　サービス要求の優先度付け

ウ　変更要求の記録

エ　リリースの検証
","【正解】　ア
“あなたの解答:イ”

問題管理プロセスは、インシデントの根本原因を特定し、インシデント及び問題の影響を最小化又は回避することを目的とするプロセスです。主な活動は以下の通りです。

・インシデントの根本原因と潜在的な予防処置を特定する
・問題解決のための変更要求を提起する
・サービスへの影響を低減又は除去するための処置を特定する
・既知の誤りを記録する

ア　“根本原因の特定”
正しい。問題管理プロセスの活動です。

イ　“サービス要求の優先度付け”
インシデント及びサービス要求管理の活動です。

ウ　“変更要求の記録”
変更管理の活動です。

エ　リリースの検証”
リリース及び展開管理の活動です。
"
634,"DJ-AP-R7A

労働施策総合推進法に関する記述として,適切なものはどれか。

ア　いわゆるパワーハラスメントに関し, 労働者の相談に応ずることや適切に対応する体制を整備することなどを事業主に義務付けている。

イ　大学生や高校生が適職を選択して、 適切な就職活動を行うために, 教育機関が関与すべきインターンシップの理念・原則を定めている。

ウ　都道府県ごとに時給という形式で金額が決められている最低賃金を労働施策の基礎と して位置付け,それを決定する手順を定めている。

エ　労働組合と使用者との団体交渉が労働条件改善の基本的な方策であると示し, 労働組 合活動を総合的に推進することを義務付けている。

","【正解】　ア
“あなたの解答:ア”

労働施策総合推進法は、働きやすい職場環境の整備や労働者の能力発揮を促進することを目的とした法律です。広く雇用対策の施策を定めていますが、通称「パワハラ防止法」と呼ば れるように、職場におけるパラーハラスメントを防止する施策を含む法律です。
"
635,"DJ-AP-R7A

RDBMSにおいて、 同じデータ項目の異なる版を用意することによって, トランザクションの同時実行性を高める仕組みはどれか。

ア　2相ロッキングプロトコル

イ　MVCC

ウ　WALプロトコル

エ　共有ロック
","【正解】　イ

“あなたの解答:ア”
多版同時実行制御(MVCC:MultiVersion Concurrency Control)は、トランザクションからの読書き要求に対して、トランザクション開始時点における同じデータのスナップショット (版、version)を提供するというアプローチにより、トランザクションの同時実行制御を行う仕組みです。

単版の2相ロックでは、専有ロック中のデータに対する参照はできず、共有ロック中のデータに対する更新はできません。この際、ロックの解除を待たなければならないことがトランザクションの同時実行における制約となっています。

多版同時実行制御では、各トランザクションが開始した時点におけるデータ項目の内容を「版」として保持しておき、並列実行されるトランザクションに対してこの「版」を提供します。これにより、読込みのロックと書込みのロックが競合することがなくなり、トランザクションの一貫性を保ったまま同時実行性を向上させます。

ア　“2相ロッキングプロトコル”
2相ロッキングプロトコルは、ロックを取得する段階 (成長相) と解除する段階(縮退相)の2つのフェーズを明確に区別したロック方式です。トランザクションで読書きが必要となるたびに都度ロックをかけていき、全てのロックを取得した後にまとめて解除する、というルールでロックの取得と解除を行います。

イ　MVCC""
正しい。MVCCは、読取り要求に対して直近の確定済みデータの「版」を提供することで、トランザクションの同時実効性を向上させる仕組みです。

ウ　“WALプロトコル”
WALプロトコルは、""Write Ahead Log (まずログを書け)""という意味のとおり、実際の操作に先行してログの即時書き出しを求める取り決めです。WALプロトコルの動作は 次の2点に要約されます。
・データベースの更新は、まずそれをログを書き出してから行う(更新前ログ)
・トランザクションはコミットを行う前に、該当する全てのデータベース更新情報をログを書き出す (更新後ログ)
エ“共有ロック”
共有ロックは、データへの書込みは禁止されますが、複数のトランザクションからの同 時読取りは許可するロックです。


"
636,"DJ-AP-R7A

図のアンゾフの成長マトリクスのうち, 市場浸透戦略の例として,適切なものはどれか。

ア　ある商品が高いシェアを確保したため、 最近の技術開発の成果を取り入れた上位機種を,既存のユーザー向けに販売する。

イ　ある地域において特別価格で販売することで、 商品の知名度を上げ, その地域の多く の住民に販売する。

ウ　ある地方で長年販売してきた商品を,今年から他の地方でも販売する。

エ　販売実績がないある国の商習慣に合う製品を一から開発し,その国で販売する。
","【正解】　イ
“あなたの解答:ウ”

アンゾフの成長マトリクスは、縦横に「市場」と「製品」、横軸に「既存」「新規」を設定したマトリクス上に事業領域を位置付け、4つの経営戦略 (市場浸透、 製品開発、市場開拓、多角化)に対応させたフレームワークです。

各象限の経営戦略は以下のとおりです。

市場浸透(既存製品・既存市場)
広告・宣伝を強化するなどして、他社のマーケットシェアを奪ったり、自社の優良顧客を増やしたりすることで成長を図る戦略

製品開発(新規製品 既存市場)
現在の顧客や市場に対して、新機能をつけた製品や新規開発製品を提案することで成長を 図る戦略市場開拓(既存製品・新規市場)

現在の製品を、今までとは異なる顧客や市場に販売することで成長を図る戦略
多角化 (新規製品・新規市場)
技術開発、業務提携、M&Aなどで、現在の事業と関係のない新しい分野に進出することで成長を図る戦略
選択肢の4つの事例はそれぞれ次のように分類できます。

ア　“ある商品が高いシェアを確保したため,最近の技術開発の成果を取り入れた上位機種を,既存
のユーザー向けに販売する。”
新商品を既存市場に投入するため、新製品開発戦略の例です。

イ　“ある地域において特別価格で販売することで,商品の知名度を上げ,その地域の多くの住民に販売する。
正しい。 既存商品を既存市場に投入するため、市場浸透戦略の例です。

ウ　“ある地方で長年販売してきた商品を、今年から他の地方でも販売する。 既存商品を新規市場に投入するため、新市場開拓戦略の例です。

エ　“販売実績がないある国の商習慣に合う製品を一から開発し,その国で販売する。
新商品を新市場に投入するため、多角化戦略の例です。
"
